transaction_id,customer_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud
TX_8ab03451,CUST_45506,4276387718511132,2024-10-02 07:37:53.648473+00:00,Restaurant,casual,Red Lobster,544.43,BRL,Brazil,Unknown City,medium,Basic Debit,False,Firefox,web,3e8902e5ca8ea02f5c1cafab83b7855c,236.8.107.158,0,False,7,False,"{'num_transactions': 410, 'total_amount': 9771834.612817284, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 2076391.2394741082}",False
TX_9b278186,CUST_60434,6372131493335111,2024-10-08 01:20:04.635733+00:00,Education,online,Skillshare,1.46,CAD,Canada,Unknown City,medium,Basic Credit,True,Magnetic Stripe,pos,1703fbd0ec57fee12ffe2257dc15e3f2,119.123.124.179,1,False,1,False,"{'num_transactions': 1203, 'total_amount': 31492719.851344902, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2426353.930477201}",True
TX_7f80b3c4,CUST_47739,6032951922681435,2024-10-28 16:04:39.625391+00:00,Entertainment,streaming,Disney+,158.73,CAD,Canada,Unknown City,medium,Basic Debit,True,Chip Reader,pos,3481722c89ab59b5ea450adfc07b55ba,105.166.250.133,0,True,16,False,"{'num_transactions': 100, 'total_amount': 3168371.4339842075, 'unique_merchants': 62, 'unique_countries': 11, 'max_single_amount': 807962.4748011598}",True
TX_7202f8a2,CUST_77691,5021869140628407,2024-10-03 15:06:36.624159+00:00,Restaurant,casual,TGI Fridays,1074.57,BRL,Brazil,Unknown City,medium,Basic Credit,False,Firefox,web,f5b0c8568cbb2c110ac396ff09baad90,196.70.93.112,0,False,15,False,"{'num_transactions': 335, 'total_amount': 6421794.143376851, 'unique_merchants': 99, 'unique_countries': 12, 'max_single_amount': 1163648.325875497}",False
TX_75f107d6,CUST_86097,5070103713053862,2024-10-19 10:30:45.169341+00:00,Entertainment,streaming,HBO Max,1399.64,MXN,Mexico,Unknown City,medium,Basic Debit,False,Firefox,web,c2515c6f7a3b534c8ab23d31cf57f29a,161.127.213.117,0,True,10,True,"{'num_transactions': 426, 'total_amount': 14338015.880816903, 'unique_merchants': 100, 'unique_countries': 12, 'max_single_amount': 1915303.4146045926}",False
TX_2337e624,CUST_30880,370393696569335,2024-10-11 20:29:34.102103+00:00,Travel,transport,Hertz,191.76,SGD,Singapore,Unknown City,medium,Basic Credit,False,Edge,web,5ce78ffb63552d6a226e48b06f1af272,169.151.116.215,0,True,20,False,"{'num_transactions': 56, 'total_amount': 1996742.5062692952, 'unique_merchants': 46, 'unique_countries': 8, 'max_single_amount': 1436296.456002305}",False
TX_639f9bb6,CUST_34674,4946253549661464,2024-10-23 21:28:19.387844+00:00,Education,supplies,Barnes & Noble,545.93,EUR,France,Unknown City,medium,Platinum Credit,False,Safari,web,ed6b4a16eb13dffc97f72b319a2e2c35,219.114.86.123,0,False,21,False,"{'num_transactions': 373, 'total_amount': 6266952.380563878, 'unique_merchants': 99, 'unique_countries': 10, 'max_single_amount': 1033561.9801986845}",False
TX_a6b24749,CUST_72925,371801192605188,2024-10-12 12:39:12.726418+00:00,Gas,local,Highway Gas Stop,238.99,EUR,France,Unknown City,medium,Premium Debit,False,iOS App,mobile,bf28113bfa9752c20abf588c8fc073e5,185.222.25.71,1,False,12,True,"{'num_transactions': 336, 'total_amount': 5359553.886697326, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 839447.6397482364}",False
TX_d8e58d93,CUST_19349,5019634320904059,2024-10-03 13:20:15.380351+00:00,Entertainment,events,StubHub,144015.31,RUB,Russia,Unknown City,medium,Basic Credit,True,Chip Reader,pos,793d8e745d2b346c4ddc27a534083243,207.149.162.235,1,True,13,False,"{'num_transactions': 323, 'total_amount': 37536171.927096404, 'unique_merchants': 97, 'unique_countries': 12, 'max_single_amount': 1395723.9844904297}",True
TX_d808df32,CUST_59050,370198874524543,2024-10-30 14:57:46.183862+00:00,Education,online,Coursera,5569.86,BRL,Brazil,Unknown City,medium,Platinum Credit,True,NFC Payment,pos,9fbdcb2731930495998ddef242c706ad,117.183.128.117,1,False,14,False,"{'num_transactions': 1, 'total_amount': 6095.975455464042, 'unique_merchants': 1, 'unique_countries': 1, 'max_single_amount': 5569.860439382838}",True
